Destination Airport,Lat,Long,name
DBQ,42.40,-90.71,Dubuque Regional Airport
DCA,38.85,-77.04,Ronald Reagan Washington National Airport
DCU,34.65,-86.95,Pryor Field Regional Airport
DDC,37.76,-99.97,Dodge City Regional Airport
DEC,39.83,-88.87,Decatur Airport
DEH,43.28,-91.74,Decorah Municipal Airport
DEN,39.86,-104.67,Denver International Airport
DET,42.41,-83.01,Coleman A. Young Municipal Airport
DFI,41.34,-84.43,Defiance Memorial Airport
DFW,32.90,-97.04,Dallas Fort Worth International Airport
DGL,31.34,-109.51,Douglas Municipal Airport
DGW,42.80,-105.39,Converse County Airport
DHN,31.32,-85.45,Dothan Regional Airport
DHT,36.02,-102.55,Dalhart Municipal Airport
DIK,46.80,-102.80,Dickinson Theodore Roosevelt Regional Airport
DKK,42.49,-79.27,Chautauqua County-Dunkirk Airport
DLL,34.45,-79.37,Dillon County Airport
DLF,29.36,-100.78,DLF Airport
DLH,46.84,-92.19,Duluth International Airport
DLN,45.26,-112.55,Dillon Airport
DLS,45.62,-121.17,Columbia Gorge Regional the Dalles Municipal Airport
DMA,32.17,-110.88,Davis Monthan Air Force Base
DMN,32.26,-107.72,Deming Municipal Airport
DMO,38.71,-93.18,Sedalia Memorial Airport
DNL,33.47,-82.04,Daniel Field
DNN,34.72,-84.87,Dalton Municipal Airport
DNS,41.99,-95.38,Denison Municipal Airport
DNV,40.20,-87.60,Vermilion Regional Airport
DOV,39.13,-75.47,Dover Air Force Base
DPA,41.91,-88.25,Dupage Airport
DPG,40.20,-112.94,Michael AAF (Dugway Proving Ground) Airport
DRA,36.62,-116.03,Desert Rock Airport
DRI,30.83,-93.34,Beauregard Regional Airport
DRE,46.01,-83.74,Drummond Island Airport
DRO,37.15,-107.75,Durango La Plata County Airport
DRT,29.37,-100.93,Del Rio International Airport
DSM,41.53,-93.66,Des Moines International Airport
DSV,42.57,-77.71,Dansville Municipal Airport
DTA,39.38,-112.51,Delta Municipal Airport
DTL,46.83,-95.89,Detroit Lakes Airport - Wething Field
DTN,32.54,-93.75,Shreveport Downtown Airport
DSI,30.40,-86.47,Destin Executive Airport
DTW,42.21,-83.35,Detroit Metropolitan Wayne County Airport
DUA,33.94,-96.39,Eaker Field
DUC,34.47,-97.96,Halliburton Field
DUG,31.47,-109.60,Bisbee Douglas International Airport
DUJ,41.18,-78.90,DuBois Regional Airport
DVL,48.11,-98.91,Devils Lake Regional Airport
DVN,41.61,-90.59,Davenport Municipal Airport
NOT,38.14,-122.56,Marin County Airport - Gnoss Field
NSL,43.99,-95.78,Slayton Municipal Airport
DVT,33.69,-112.08,Phoenix Deer Valley Airport
DWF,39.78,-84.10,Wright Field
DWH,30.06,-95.55,David Wayne Hooks Memorial Airport
DXR,41.37,-73.48,Danbury Municipal Airport
DYL,40.33,-75.12,Doylestown Airport
DYS,32.42,-99.85,Dyess Air Force Base
MIF,31.58,-102.91,Roy Hurd Memorial Airport
CCG,31.42,-102.36,Crane County Airport
ESO,36.03,-106.05,Ohkay Owingeh Airport
WTR,33.81,-109.99,Whiteriver Airport
ALE,30.38,-103.68,Alpine Casparis Municipal Airport
BGT,34.60,-113.17,Bagdad Airport
EAN,42.06,-104.93,Phifer Airfield
EAR,40.73,-99.01,Kearney Regional Airport
EAT,47.40,-120.21,Pangborn Memorial Airport
EAU,44.87,-91.48,Chippewa Valley Regional Airport
KEB,59.35,-151.93,Nanwalek Airport
EBS,42.44,-93.87,Webster City Municipal Airport
ECG,36.26,-76.17,Elizabeth City Regional Airport & Coast Guard Air Station
ECP,30.36,-85.80,Northwest Florida Beaches International Airport
ECS,43.89,-104.32,Mondell Field
EDE,36.03,-76.57,Northeastern Regional Airport
ETS,31.30,-85.90,Enterprise Municipal Airport
EDW,34.91,-117.88,Edwards Air Force Base
EED,34.77,-114.62,Needles Airport
EEN,42.90,-72.27,Dillant Hopkins Airport
EFD,29.61,-95.16,Ellington Airport
EFK,44.89,-72.23,Northeast Kingdom International Airport
EFW,42.01,-94.34,Jefferson Municipal Airport
EGE,39.64,-106.92,Eagle County Regional Airport
EGI,30.65,-86.52,Duke Field
EGV,45.93,-89.27,Eagle River Union Airport
KEK,59.36,-157.47,Ekwok Airport
EKA,40.80,-124.11,Murray Field
EKI,41.72,-86.00,Elkhart Municipal Airport
EKN,38.89,-79.86,Elkins-Randolph Co-Jennings Randolph Field
EKO,40.82,-115.79,Elko Regional Airport
EKX,37.69,-85.93,Addington Field
ELA,29.60,-96.32,Eagle Lake Airport
ELD,33.22,-92.81,South Arkansas Regional At Goodwin Field
ELK,35.43,-99.39,Elk City Regional Business Airport
ELM,42.16,-76.89,Elmira Corning Regional Airport
ELN,47.03,-120.53,Bowers Field
LYU,47.82,-91.83,Ely Municipal Airport
ELP,31.81,-106.38,El Paso International Airport
ELY,39.30,-114.84,Ely Airport Yelland Field
ELZ,42.11,-77.99,"Wellsville Municipal Arpt,Tarantine Field"
EMM,41.82,-110.56,Kemmerer Municipal Airport
EMP,38.33,-96.19,Emporia Municipal Airport
EMT,34.09,-118.04,San Gabriel Valley Airport
END,36.34,-97.92,Vance Air Force Base
ENL,38.52,-89.09,Centralia Municipal Airport
ENV,40.72,-114.03,Wendover Airport
ENW,42.60,-87.93,Kenosha Regional Airport
EOK,40.46,-91.43,Keokuk Municipal Airport
EPH,47.31,-119.52,Ephrata Municipal Airport
EDK,37.77,-96.82,Captain Jack Thomas El Dorado Airport
ERI,42.08,-80.17,Erie International Tom Ridge Field
ERR,44.79,-71.16,Errol Airport
ERV,29.98,-99.09,Kerrville Municipal Louis Schreiner Field
ESC,45.72,-87.09,Delta County Airport
ESF,31.39,-92.30,Esler Regional Airport
ESN,38.80,-76.07,Easton Newnam Field
EST,43.41,-94.75,Estherville Municipal Airport
ESW,47.25,-121.19,Easton State Airport
ETB,43.42,-88.13,West Bend Municipal Airport
ETN,32.41,-98.81,Eastland Municipal Airport
EUF,31.95,-85.13,Weedon Field
EUG,44.12,-123.21,Mahlon Sweet Field
EVM,47.43,-92.50,Eveleth Virginia Municipal Airport
EVV,38.04,-87.53,Evansville Regional Airport
EVW,41.27,-111.04,Evanston-Uinta County Airport-Burns Field
EWB,41.68,-70.96,New Bedford Regional Airport
EWK,38.06,-97.27,Newton City-County Airport
EWN,35.07,-77.04,Coastal Carolina Regional Airport
EWR,40.69,-74.17,Newark Liberty International Airport
EYW,24.56,-81.76,Key West International Airport
WIB,34.23,-99.28,Wilbarger County Airport
RBK,33.57,-117.13,French Valley Airport
FAF,37.13,-76.61,Felker Army Air Field
FAM,37.76,-90.43,Farmington Regional Airport
FAR,46.92,-96.82,Hector International Airport
FAT,36.78,-119.72,Fresno Yosemite International Airport
FAY,34.99,-78.88,Fayetteville Regional Grannis Field
FBG,35.13,-78.94,Simmons Army Air Field
FBL,44.33,-93.31,Faribault Municipal Airport-Liz Wall Strohfus Field
FBR,41.39,-110.41,Fort Bridger Airport
FBY,40.18,-97.17,Fairbury Municipal Airport
FCH,36.73,-119.82,Fresno Chandler Executive Airport
FCM,44.83,-93.46,Flying Cloud Airport
FCS,38.68,-104.76,Butts AAF (Fort Carson) Air Field
FCY,34.94,-90.78,Forrest City Municipal Airport
FDK,39.42,-77.37,Frederick Municipal Airport
FDR,34.35,-98.98,Frederick Regional Airport
FDY,41.01,-83.67,Findlay Airport
FEP,42.25,-89.58,Albertus Airport
FET,41.45,-96.52,Fremont Municipal Airport
FFA,36.02,-75.67,First Flight Airport
FFL,41.05,-91.98,Fairfield Municipal Airport
FFM,46.28,-96.16,Fergus Falls Municipal Airport - Einar Mickelson Field
FFO,39.83,-84.05,Wright-Patterson Air Force Base
FFT,38.18,-84.90,Capital City Airport
MSC,33.46,-111.73,Falcon Field
FRD,48.52,-123.02,Friday Harbor Airport
FHU,31.59,-110.35,Sierra Vista Municipal Airport / Libby Army Air Field
FKL,41.38,-79.86,Venango Regional Airport
FKN,36.70,-76.90,Franklin Regional Airport
FLD,43.77,-88.49,Fond du Lac County Airport
FLG,35.14,-111.67,Flagstaff Pulliam Airport
FLL,26.07,-80.15,Fort Lauderdale Hollywood International Airport
FLO,34.19,-79.72,Florence Regional Airport
FLP,36.29,-92.59,Marion County Regional Airport
FLU,40.78,-73.83,Flushing Airport
FLV,39.37,-94.91,Sherman Army Air Field
FLX,39.50,-118.75,Fallon Municipal Airport
FME,39.09,-76.76,Tipton Airport
FMH,41.66,-70.52,Cape Cod Coast Guard Air Station
FMN,36.74,-108.23,Four Corners Regional Airport
FMY,26.59,-81.86,Page Field
FNL,40.45,-105.01,Northern Colorado Regional Airport
FNT,42.97,-83.74,Bishop International Airport
FOD,42.55,-94.19,Fort Dodge Regional Airport
FOE,38.95,-95.66,Topeka Regional Airport - Forbes Field
FOK,40.84,-72.63,Francis S Gabreski Airport
FIL,38.96,-112.36,Fillmore Municipal Airport
FPR,27.50,-80.37,St Lucie County International Airport
FRG,40.73,-73.41,Republic Airport
FRH,38.51,-86.64,French Lick Municipal Airport
FRI,39.06,-96.76,Marshall Army Air Field
FRM,43.64,-94.42,Fairmont Municipal Airport
FRR,38.92,-78.25,Front Royal Warren County Airport
FSD,43.58,-96.74,Joe Foss Field Airport
FSI,34.65,-98.40,Henry Post Army Air Field (Fort Sill)
FSK,37.80,-94.77,Fort Scott Municipal Airport
FSM,35.34,-94.37,Fort Smith Regional Airport
FST,30.92,-102.92,Fort Stockton Pecos County Airport
FSU,34.48,-104.22,Fort Sumner Municipal Airport
FMS,40.66,-91.33,Fort Madison Municipal Airport
FTK,37.91,-85.97,Godman Army Air Field
FTW,32.82,-97.36,Fort Worth Meacham International Airport
FTY,33.78,-84.52,Fulton County Airport Brown Field
FUL,33.87,-117.98,Fullerton Municipal Airport
WFK,47.29,-68.31,Northern Aroostook Regional Airport
FWA,40.98,-85.20,Fort Wayne International Airport
FXE,26.20,-80.17,Fort Lauderdale Executive Airport
FXY,43.23,-93.62,Forest City Municipal Airport
FYM,35.06,-86.56,Fayetteville Municipal Airport
FYV,36.01,-94.17,Drake Field
GAD,33.97,-86.09,Northeast Alabama Regional Airport
GAG,36.30,-99.78,Gage Airport
GAI,39.17,-77.17,Montgomery County Airpark
GBD,38.34,-98.86,Great Bend Municipal Airport
GBG,40.94,-90.43,Galesburg Municipal Airport
GBR,42.18,-73.40,Walter J. Koladza Airport
GCC,44.35,-105.54,Gillette Campbell County Airport
JDA,44.40,-118.96,Grant Co Regional/Ogilvie Field
GCK,37.93,-100.72,Garden City Regional Airport
GCN,35.95,-112.15,Grand Canyon National Park Airport
GCY,36.19,-82.82,Greeneville Municipal Airport
GDM,42.55,-72.02,Gardner Municipal Airport
GDV,47.14,-104.81,Dawson Community Airport
GDW,43.97,-84.47,Gladwin Zettel Memorial Airport
GED,38.69,-75.36,Sussex County Airport
GEG,47.62,-117.53,Spokane International Airport
GEY,44.52,-108.08,South Big Horn County Airport
GFA,47.50,-111.19,Malmstrom Air Force Base
GFK,47.95,-97.18,Grand Forks International Airport
GFL,43.34,-73.61,Floyd Bennett Memorial Airport
GGE,33.31,-79.32,Georgetown County Airport
GGG,32.38,-94.71,East Texas Regional Airport
GGW,48.21,-106.61,Wokal Field/Glasgow-Valley County Airport
GHM,35.84,-87.45,Centerville Municipal Airport
GIF,28.06,-81.75,Winter Haven Regional Airport - Gilbert Field
GJT,39.12,-108.53,Grand Junction Regional Airport
MEJ,41.63,-80.21,Port Meadville Airport
GKT,35.86,-83.53,Gatlinburg-Pigeon Forge Airport
GLD,39.37,-101.70,Renner Field-Goodland Municipal Airport
GLE,33.65,-97.20,Gainesville Municipal Airport
GLH,33.48,-90.99,Mid Delta Regional Airport
GLR,45.01,-84.70,Gaylord Regional Airport
GLS,29.27,-94.86,Scholes International At Galveston Airport
GLW,37.03,-85.95,Glasgow Municipal Airport
GMU,34.85,-82.35,Greenville Downtown Airport
GNG,42.92,-114.76,Gooding Municipal Airport
GNT,35.17,-107.90,Grants-Milan Municipal Airport
GNV,29.69,-82.27,Gainesville Regional Airport
GOK,35.85,-97.42,Guthrie-Edmond Regional Airport
GON,41.33,-72.05,Groton New London Airport
FCA,48.31,-114.26,Glacier Park International Airport
GPT,30.41,-89.07,Gulfport Biloxi International Airport
GPZ,47.21,-93.51,Grand Rapids Itasca Co-Gordon Newstrom field
GQQ,40.75,-82.72,Galion Municipal Airport
GRB,44.49,-88.13,Austin Straubel International Airport
GRD,34.25,-82.16,Greenwood County Airport
GRE,38.84,-89.38,Greenville Airport
GRF,47.08,-122.58,Gray Army Air Field
GRI,40.97,-98.31,Central Nebraska Regional Airport
GRK,31.07,-97.83,Robert Gray  Army Air Field Airport
GRN,42.81,-102.18,Gordon Municipal Airport
GRR,42.88,-85.52,Gerald R. Ford International Airport
GSB,35.34,-77.96,Seymour Johnson Air Force Base
GSH,41.53,-85.79,Goshen Municipal Airport
GSO,36.10,-79.94,Piedmont Triad International Airport
GSP,34.90,-82.22,Greenville Spartanburg International Airport
GSW,32.83,-97.05,Greater Southwest International Airport-Amon Carter Field
GTF,47.48,-111.37,Great Falls International Airport
GTG,45.80,-92.66,Grantsburg Municipal Airport
GTR,33.45,-88.59,Golden Triangle Regional Airport
GUC,38.53,-106.93,Gunnison Crested Butte Regional Airport
GUP,35.51,-108.79,Gallup Municipal Airport
GUS,40.65,-86.15,Grissom Air Reserve Base
GUY,36.69,-101.51,Guymon Municipal Airport
GVL,34.27,-83.83,Lee Gilmer Memorial Airport
GVT,33.07,-96.07,Majors Airport
GVW,38.84,-94.56,Richards-Gebaur Air Force Base
GWO,33.49,-90.08,GreenwoodâLeflore Airport
GWS,39.51,-107.31,Glenwood Springs Municipal Airport
KGX,62.90,-160.07,Grayling Airport
GXY,40.44,-104.63,GreeleyâWeld County Airport
GDC,34.76,-82.38,Donaldson Field Airport
PNX,33.71,-96.67,North Texas Regional Airport/Perrin Field
GYR,33.42,-112.38,Phoenix Goodyear Airport
GYY,41.62,-87.41,Gary Chicago International Airport
KGZ,61.46,-142.38,Glacier Creek Airport
HAB,34.12,-88.00,Marion County Rankin Fite Airport
HAF,37.51,-122.50,Half Moon Bay Airport
HAI,41.96,-85.59,Three Rivers Municipal Dr Haines Airport
HAO,39.36,-84.52,Butler Co Regional Airport - Hogan Field
HAX,35.75,-95.41,Hatbox Field
HBG,31.26,-89.25,Hattiesburg Bobby L Chain Municipal Airport
HBR,34.99,-99.05,Hobart Regional Airport
HDE,40.45,-99.34,Brewster Field
HDN,40.48,-107.22,Yampa Valley Airport
HEE,34.58,-90.68,Thompson-Robbins Airport
MNZ,38.72,-77.52,Manassas Regional Airport/Harry P. Davis Field
HEZ,31.61,-91.30,Hardy-Anders Field / Natchez-Adams County Airport
HFD,41.74,-72.65,Hartford Brainard Airport
HFF,35.04,-79.50,Mackall Army Air Field
HGR,39.71,-77.73,Hagerstown Regional Richard A Henson Field
HHR,33.92,-118.33,Jack Northrop Field Hawthorne Municipal Airport
HUJ,34.03,-95.54,Stan Stamper Municipal Airport
HIB,47.39,-92.84,Range Regional Airport
HIE,44.37,-71.54,Mount Washington Regional Airport
HIF,41.12,-111.97,Hill Air Force Base
HII,34.57,-114.36,Lake Havasu City Airport
HIO,45.54,-122.95,Portland Hillsboro Airport
HKA,35.94,-89.83,Blytheville Municipal Airport
HKS,32.33,-90.22,Hawkins Field
HKY,35.74,-81.39,Hickory Regional Airport
HLB,39.34,-85.26,Hillenbrand Industries Airport
HLC,39.38,-99.83,Hill City Municipal Airport
HLG,40.17,-80.65,Wheeling Ohio County Airport
HLM,42.80,-86.16,Park Township Airport
HLN,46.61,-111.98,Helena Regional Airport
HLR,31.14,-97.71,Hood Army Air Field
HMN,32.85,-106.11,Holloman Air Force Base
HMT,33.73,-117.02,Hemet Ryan Airport
HNB,38.25,-86.95,Huntingburg Airport
HSH,35.97,-115.13,Henderson Executive Airport
HOB,32.69,-103.22,Lea County Regional Airport
HON,44.39,-98.23,Huron Regional Airport
HOP,36.67,-87.50,Campbell AAF (Fort Campbell) Air Field
HOT,34.48,-93.10,Memorial Field
HOU,29.65,-95.28,William P Hobby Airport
HPN,41.07,-73.71,Westchester County Airport
HPT,42.72,-93.23,Hampton Municipal Airport
HPY,29.79,-94.95,Baytown Airport
HQM,46.97,-123.94,Bowerman Airport
HES,45.83,-119.26,Hermiston Municipal Airport
HRL,26.23,-97.65,Valley International Airport
HRO,36.26,-93.15,Boone County Airport
HSB,37.81,-88.55,Harrisburg-Raleigh Airport
HNC,35.23,-75.62,Billy Mitchell Airport
THP,43.71,-108.39,Hot Springs County Airport
HSI,40.61,-98.43,Hastings Municipal Airport
HSP,37.95,-79.83,Ingalls Field
HST,25.49,-80.38,Homestead ARB Airport
HSV,34.64,-86.78,Huntsville International Carl T Jones Field
HTH,38.54,-118.63,Hawthorne Industrial Airport
HTL,44.36,-84.67,Roscommon County - Blodgett Memorial Airport
HTO,40.96,-72.25,East Hampton Airport
HTS,38.37,-82.56,Tri-State/Milton J. Ferguson Field
HTW,38.42,-82.49,Lawrence County Airpark
HUA,34.68,-86.68,Redstone Army Air Field
HUF,39.45,-87.31,"Terre Haute Regional Airport, Hulman Field"
HUL,46.12,-67.79,Houlton International Airport
HUM,29.57,-90.66,Houma Terrebonne Airport
HUT,38.07,-97.86,Hutchinson Municipal Airport
HVE,38.42,-110.70,Hanksville Airport
HVN,41.26,-72.89,Tweed New Haven Airport
HVR,48.54,-109.76,Havre City County Airport
HVS,34.40,-80.12,Hartsville Regional Airport
HWD,37.66,-122.12,Hayward Executive Airport
HWO,26.00,-80.24,North Perry Airport
WSH,40.82,-72.87,Brookhaven Airport
HHH,32.22,-80.70,Hilton Head Airport
HYA,41.67,-70.28,Barnstable Municipal Boardman Polando Field
HYR,46.03,-91.44,Sawyer County Airport
HYS,38.84,-99.27,Hays Regional Airport
HZL,40.99,-75.99,Hazleton Municipal Airport
JFN,41.78,-80.70,Northeast Ohio Regional Airport
IAB,37.62,-97.27,Mc Connell Air Force Base
IAD,38.94,-77.46,Washington Dulles International Airport
IAG,43.11,-78.95,Niagara Falls International Airport
IAH,29.98,-95.34,George Bush Intercontinental Houston Airport
KIB,55.90,-159.49,Ivanof Bay Seaplane Base
ICL,40.72,-95.03,Schenck Field
ICT,37.65,-97.43,Wichita Eisenhower National Airport
IDA,43.51,-112.07,Idaho Falls Regional Airport
IDI,40.63,-79.11,Indiana County/Jimmy Stewart Fld/ Airport
IDP,37.16,-95.78,Independence Municipal Airport
XPR,43.02,-102.51,Pine Ridge Airport
IFA,42.47,-93.27,Iowa Falls Municipal Airport
IFP,35.16,-114.56,Laughlin Bullhead International Airport
IGM,35.26,-113.94,Kingman Airport
IKK,41.07,-87.85,Greater Kankakee Airport
ILE,31.09,-97.69,Skylark Field
ILG,39.68,-75.61,New Castle Airport
ILM,34.27,-77.90,Wilmington International Airport
ILN,39.43,-83.79,Wilmington Airpark
IML,40.51,-101.62,Imperial Municipal Airport
IMM,26.43,-81.40,Immokalee Regional Airport
MDN,38.76,-85.47,Madison Municipal Airport
IMT,45.82,-88.11,Ford Airport
IND,39.72,-86.29,Indianapolis International Airport
INK,31.78,-103.20,Winkler County Airport
INL,48.57,-93.40,Falls International Airport
INS,36.59,-115.67,Creech Air Force Base
INT,36.13,-80.22,Smith Reynolds Airport
INW,35.02,-110.72,Winslow Lindbergh Regional Airport
IOW,41.64,-91.55,Iowa City Municipal Airport
IPL,32.83,-115.58,Imperial County Airport
IPT,41.24,-76.92,Williamsport Regional Airport
IRK,40.09,-92.54,Kirksville Regional Airport
IRS,41.81,-85.44,Kirsch Municipal Airport
ISM,28.29,-81.44,Kissimmee Gateway Airport
ISN,48.18,-103.64,Sloulin Field International Airport
ISO,35.33,-77.61,Kinston Regional Jetport At Stallings Field
ISP,40.80,-73.10,Long Island Mac Arthur Airport
ISQ,45.97,-86.17,Schoolcraft County Airport
ISW,44.36,-89.84,Alexander Field South Wood County Airport
ITH,42.49,-76.46,Ithaca Tompkins Regional Airport
AZA,33.31,-111.65,Phoenix-Mesa-Gateway Airport
IWD,46.53,-90.13,Gogebic Iron County Airport
ISS,43.96,-69.71,Wiscasset Airport
IWS,29.82,-95.67,West Houston Airport
JCI,38.83,-94.89,New Century Aircenter Airport
IYK,35.66,-117.83,Inyokern Airport
SQA,34.61,-120.08,Santa Ynez Airport
FRY,43.99,-70.95,Eastern Slopes Regional Airport
JAC,43.61,-110.74,Jackson Hole Airport
JAN,32.31,-90.08,Jackson-Medgar Wiley Evers International Airport
JAS,30.89,-94.03,Jasper County Airport-Bell Field
JAX,30.49,-81.69,Jacksonville International Airport
JBR,35.83,-90.65,Jonesboro Municipal Airport
JCT,30.51,-99.76,Kimble County Airport
JDN,47.33,-106.95,Jordan Airport
JEF,38.59,-92.16,Jefferson City Memorial Airport
JFK,40.64,-73.78,John F Kennedy International Airport
JHW,42.15,-79.26,Chautauqua County-Jamestown Airport
GUF,30.29,-87.67,Jack Edwards Airport
JLN,37.15,-94.50,Joplin Regional Airport
JMS,46.93,-98.68,Jamestown Regional Airport
JOT,41.52,-88.18,Joliet Regional Airport
USA,35.39,-80.71,Concord-Padgett Regional Airport
JKV,31.87,-95.22,Cherokee County Airport
JST,40.32,-78.83,John Murtha Johnstown Cambria County Airport
JVL,42.62,-89.04,Southern Wisconsin Regional Airport
JXN,42.26,-84.46,Jackson County Reynolds Field
KKB,58.19,-152.37,Kitoi Bay Seaplane Base
KIC,36.23,-121.12,Mesa Del Rey Airport
KKL,57.37,-154.03,Karluk Lake Seaplane Base
KLS,46.12,-122.90,Southwest Washington Regional Airport
KKU,58.81,-158.56,Ekuk Airport
DTH,36.46,-116.88,Furnace Creek Airport
BXS,33.26,-116.32,Borrego Valley Airport
RBF,34.26,-116.86,Big Bear City Airport
TRH,35.81,-117.33,Trona Airport
LAA,38.06,-102.68,Southeast Colorado Regional Airport
LAF,40.41,-86.94,Purdue University Airport
LAL,27.99,-82.02,Lakeland Linder International Airport
LAM,35.88,-106.27,Los Alamos Airport
LAN,42.78,-84.59,Capital City Airport
LAR,41.31,-105.68,Laramie Regional Airport
LAS,36.08,-115.15,McCarran International Airport
LAW,34.57,-98.42,Lawton Fort Sill Regional Airport
LAX,33.94,-118.41,Los Angeles International Airport
LBB,33.66,-101.82,Lubbock Preston Smith International Airport
LBE,40.28,-79.40,Arnold Palmer Regional Airport
LBF,41.13,-100.68,North Platte Regional Airport Lee Bird Field
LBL,37.04,-100.96,Liberal Mid-America Regional Airport
LBT,34.61,-79.06,Lumberton Regional Airport
LJN,29.11,-95.46,Texas Gulf Coast Regional Airport
LCH,30.13,-93.22,Lake Charles Regional Airport
LCI,43.57,-71.42,Laconia Municipal Airport
LCK,39.81,-82.93,Rickenbacker International Airport
LCQ,30.18,-82.58,Lake City Gateway Airport
LDJ,40.62,-74.24,Linden Airport
LDM,43.96,-86.41,Mason County Airport
LEB,43.63,-72.30,Lebanon Municipal Airport
LEE,28.82,-81.81,Leesburg International Airport
LEM,45.92,-102.11,Lemmon Municipal Airport
LEW,44.05,-70.28,Auburn Lewiston Municipal Airport
LEX,38.04,-84.61,Blue Grass Airport
LFI,37.08,-76.36,Langley Air Force Base
LFK,31.23,-94.75,Angelina County Airport
LFT,30.21,-91.99,Lafayette Regional Airport
LGA,40.78,-73.87,La Guardia Airport
LGB,33.82,-118.15,Long Beach /Daugherty Field/ Airport
LGC,33.01,-85.07,LaGrange Callaway Airport
LGD,45.29,-118.01,La Grande/Union County Airport
LGF,32.86,-114.40,Laguna Army Airfield
LGU,41.79,-111.85,Logan-Cache Airport
LHC,35.28,-89.67,Arlington Municipal Airport
LHV,41.14,-77.42,William T. Piper Memorial Airport
LIY,31.89,-81.56,Wright AAF (Fort Stewart)/Midcoast Regional Airport
LFN,36.02,-78.33,Triangle North Executive Airport
LIC,39.27,-103.67,Limon Municipal Airport
LIT,34.73,-92.22,Bill & Hillary Clinton National Airport/Adams Field
LKP,44.26,-73.96,Lake Placid Airport
LOW,38.01,-77.97,Louisa County Airport/Freeman Field
LKV,42.16,-120.40,Lake County Airport
CHL,44.52,-114.22,Challis Airport
LMS,33.15,-89.06,Louisville Winston County Airport
LMT,42.16,-121.73,Crater Lake-Klamath Regional Airport
LNA,26.59,-80.09,Palm Beach County Park Airport
LND,42.82,-108.73,Hunt Field
LNK,40.85,-96.76,Lincoln Airport
LNN,41.68,-81.39,Lake County Executive Airport
LNP,36.99,-82.53,Lonesome Pine Airport
LNR,43.21,-90.18,Tri-County Regional Airport
LNS,40.12,-76.30,Lancaster Airport
LOL,40.07,-118.57,Derby Field
BBX,40.14,-75.27,Wings Field
LOT,41.61,-88.10,Lewis University Airport
LOU,38.23,-85.66,Bowman Field
LOZ,37.08,-84.08,London-Corbin Airport/Magee Field
LPC,34.67,-120.47,Lompoc Airport
LQK,34.81,-82.70,Pickens County Airport
LRD,27.54,-99.46,Laredo International Airport
LRF,34.92,-92.15,Little Rock Air Force Base
LRJ,42.78,-96.19,Le Mars Municipal Airport
LRU,32.29,-106.92,Las Cruces International Airport
LSB,32.33,-108.69,Lordsburg Municipal Airport
LSE,43.88,-91.26,La Crosse Municipal Airport
LSF,32.34,-84.99,Lawson Army Air Field (Fort Benning)
LSK,42.75,-104.40,Lusk Municipal Airport
LSN,37.06,-120.87,Los Banos Municipal Airport
LSV,36.24,-115.03,Nellis Air Force Base
LTS,34.67,-99.27,Altus Air Force Base
LUF,33.53,-112.38,Luke Air Force Base
LUK,39.10,-84.42,Cincinnati Municipal Airport Lunken Field
LUL,31.67,-89.17,Hesler Noble Field
LVK,37.69,-121.82,Livermore Municipal Airport
LVL,36.77,-77.79,Brunswick Municipal Airport
LVM,45.70,-110.45,Mission Field
LVS,35.65,-105.14,Las Vegas Municipal Airport
LWB,37.86,-80.40,Greenbrier Valley Airport
LWC,39.01,-95.22,Lawrence Municipal Airport
LWL,41.12,-114.92,Wells Municipal Airport/Harriet Field
LWM,42.72,-71.12,Lawrence Municipal Airport
LWS,46.37,-117.01,Lewiston Nez Perce County Airport
LWT,47.05,-109.47,Lewistown Municipal Airport
LWV,38.76,-87.61,Lawrenceville Vincennes International Airport
LXN,40.79,-99.78,Jim Kelly Field
LXV,39.22,-106.32,Lake County Airport
LYH,37.33,-79.20,Lynchburg Regional Preston Glenn Field
LYO,38.34,-98.23,Lyons-Rice County Municipal Airport
LZU,33.98,-83.96,Gwinnett County Briscoe Field
PCU,30.79,-89.50,Poplarville Pearl River County Airport
MLK,48.37,-107.92,Malta Airport
MAC,32.82,-83.56,Macon Downtown Airport
MAE,36.99,-120.11,Madera Municipal Airport
MAF,31.94,-102.20,Midland International Airport
MAW,36.60,-89.99,Malden Regional Airport
MBG,45.55,-100.41,Mobridge Municipal Airport
MBL,44.27,-86.25,Manistee Co Blacker Airport
DXE,32.44,-90.10,Bruce Campbell Field
MBS,43.53,-84.08,MBS International Airport
MBY,39.46,-92.43,Omar N Bradley Airport
MCB,31.18,-90.47,Mc Comb/Pike County Airport/John E Lewis Field
MCC,38.67,-121.40,Mc Clellan Airfield
MCD,45.86,-84.64,Mackinac Island Airport
MCE,37.28,-120.51,Merced Regional Macready Field
MCF,27.85,-82.52,Mac Dill Air Force Base
MCI,39.30,-94.71,Kansas City International Airport
MCK,40.21,-100.59,Mc Cook Ben Nelson Regional Airport
MCN,32.69,-83.65,Middle Georgia Regional Airport
MCO,28.43,-81.31,Orlando International Airport
MCW,43.16,-93.33,Mason City Municipal Airport
MDA,29.43,-98.38,Martindale Army Heliport
MDD,32.04,-102.10,Midland Airpark
MDH,37.78,-89.25,Southern Illinois Airport
XMD,44.02,-97.09,Madison Municipal Airport
MDT,40.19,-76.76,Harrisburg International Airport
MDW,41.79,-87.75,Chicago Midway International Airport
MDF,45.10,-90.30,Taylor County Airport
